index,pivot_line_dev_mm,z_through_o_err_mm
975,0.0000,0.0005
976,0.0000,0.0009
977,0.0000,0.0004
978,0.0000,0.0005
979,0.0000,0.0007
980,0.0000,0.0008
981,0.0000,0.0003
982,0.0000,0.0003
983,0.0000,0.0005
984,0.0000,0.0006
985,0.0000,0.0008
986,0.0000,0.0007
987,0.0000,0.0006
988,0.0000,0.0003
989,0.0000,0.0010
990,0.0000,0.0004
991,0.0000,0.0005
992,0.0000,0.0002
993,0.0000,0.0003
994,0.0000,0.0008
995,0.0000,0.0006
996,0.0000,0.0007
997,0.0000,0.0003
998,0.0000,0.0009
999,0.0000,0.0007
1000,0.0000,0.0004
1001,0.0000,0.0004
1002,0.0000,0.0005
1003,0.0000,0.0008
1004,0.0000,0.0007
1005,0.0000,0.0004
1006,0.0000,0.0004
1007,0.0000,0.0008
1008,0.0000,0.0003
1009,0.0000,0.0006
1010,0.0000,0.0002
1011,0.0000,0.0008
1012,0.0000,0.0004
1013,0.0000,0.0004
1014,0.0000,0.0006
1015,0.0000,0.0005
1016,0.0000,0.0008
1017,0.0000,0.0005
1018,0.0000,0.0004
1019,0.0000,0.0005
1020,0.0000,0.0008
1021,0.0000,0.0006
1022,0.0000,0.0005
1023,0.0000,0.0005
1024,0.0000,0.0004
1025,0.0000,0.0010
1026,0.0000,0.0005
1027,0.0000,0.0003
1028,0.0000,0.0004
1029,0.0000,0.0008
1030,0.0000,0.0003
1031,0.0000,0.0004
1032,0.0000,0.0006
1033,0.0000,0.0006
1034,0.0000,0.0008
1035,0.0000,0.0005
1036,0.0000,0.0006
1037,0.0000,0.0005
1038,0.0000,0.0009
1039,0.0000,0.0006
1040,0.0000,0.0004
1041,0.0000,0.0005
1042,0.0000,0.0009
1043,0.0000,0.0003
1044,0.0000,0.0004
1045,0.0000,0.0006
1046,0.0000,0.0006
1047,0.0000,0.0009
1048,0.0000,0.0006
1049,0.0000,0.0006
1050,0.0000,0.0005
1051,0.0000,0.0009
1052,0.0000,0.0005
1053,0.0000,0.0005
1054,0.0000,0.0007
1055,0.0000,0.0004
1056,0.0000,0.0010
1057,0.0000,0.0006
1058,0.0000,0.0003
1059,0.0000,0.0005
1060,0.0000,0.0008
1061,0.0000,0.0006
1062,0.0000,0.0004
1063,0.0000,0.0004
1064,0.0000,0.0003
1065,0.0000,0.0009
1066,0.0000,0.0003
1067,0.0000,0.0004
1068,0.0000,0.0003
1069,0.0000,0.0010
1070,0.0000,0.0004
1071,0.0000,0.0005
1072,0.0000,0.0005
1073,0.0000,0.0008
1074,0.0000,0.0004
1075,0.0000,0.0007
1076,0.0000,0.0005
1077,0.0000,0.0005
1078,0.0000,0.0009
1079,0.0000,0.0006
1080,0.0000,0.0007
1081,0.0000,0.0006
1082,0.0000,0.0010
1083,0.0000,0.0004
1084,0.0000,0.0005
1085,0.0000,0.0003
1086,0.0000,0.0005
1087,0.0000,0.0010
1088,0.0000,0.0004
1089,0.0000,0.0005
1090,0.0000,0.0004
1091,0.0000,0.0009
1092,0.0000,0.0007
1093,0.0000,0.0004
1094,0.0000,0.0005
1095,0.0000,0.0007
1096,0.0000,0.0008
1097,0.0000,0.0003
1098,0.0000,0.0002
1099,0.0000,0.0005
1100,0.0000,0.0008
1101,0.0000,0.0003
1102,0.0000,0.0005
1103,0.0000,0.0005
1104,0.0000,0.0010
1105,0.0000,0.0005
1106,0.0000,0.0004
1107,0.0000,0.0005
1108,0.0000,0.0006
1109,0.0000,0.0010
1110,0.0000,0.0004
1111,0.0000,0.0004
1112,0.0000,0.0006
1113,0.0000,0.0009
1114,0.0000,0.0002
1115,0.0000,0.0004
1116,0.0000,0.0005
1117,0.0000,0.0004
1118,0.0000,0.0008
1119,0.0000,0.0004
1120,0.0000,0.0006
1121,0.0000,0.0004
1122,0.0000,0.0008
1123,0.0000,0.0006
1124,0.0000,0.0006
1125,0.0000,0.0005
1126,0.0000,0.0004
1127,0.0000,0.0009
1128,0.0000,0.0006
1129,0.0000,0.0005
1130,0.0000,0.0005
1131,0.0000,0.0008
1132,0.0000,0.0004
1133,0.0000,0.0005
1134,0.0000,0.0002
1135,0.0000,0.0008
1136,0.0000,0.0003
1137,0.0000,0.0007
1138,0.0000,0.0005
1139,0.0000,0.0004
1140,0.0000,0.0010
1141,0.0000,0.0005
